Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
,,-,,,,,,,1294 ± 53,302 ± 24,108300 ± 2600,6000 ± 140,3270 ± 110,70900 ± 5600,2559000 ± 86000,18560 ± 620,2767000 ± 91000,0 ± 0.0E+0,1.00E+0 ± 0,181 ± 53,31 ± 24,108000 ± 2600,5810 ± 140,2790 ± 110,70900 ± 5600,2559000 ± 86000,18560 ± 620,2765000 ± 91000,46.7 ± 5.6,181 ± 53,31 ± 24,108000 ± 2600,5810 ± 140,2790 ± 110,70900 ± 5600,2559000 ± 86000,18560 ± 620,2765000 ± 91000,0.04269 ± 0.00067,269.5 ± 4.2,0.3165 ± 0.0056,278.9 ± 4.3,0.0524 ± 0.0072,929 ± 99,0.02135 ± 0.00034,136.2 ± 2.1,0.1582 ± 0.0028,149.1 ± 2.5,0.0262 ± 0.0036,472 ± 51,0.05384 ± 0.00045,360 ± 19,0.05397 ± 0.00085,338.8 ± 5.2,0.3959 ± 0.0070,338.3 ± 5.1,0 ± 0.0E+0,0 ± 0.0E+0,0.05329 ± 0.00045,336 ± 19,18.64 ± 0.31,-1.8 ± 3.6,687 ± 23,67.0 ± 5.3,0.88465,0.028772,
,,-,,,,,,,1307 ± 47,317 ± 24,142600 ± 2500,7860 ± 150,4950 ± 120,120000 ± 8100,3298000 ± 93000,23920 ± 670,3616000 ± 94000,0 ± 0.0E+0,1.00E+0 ± 0,182 ± 47,40 ± 24,142300 ± 2500,7650 ± 150,4430 ± 120,120000 ± 8100,3298000 ± 93000,23920 ± 670,3614000 ± 94000,30.0 ± 2.1,182 ± 47,40 ± 24,142300 ± 2500,7650 ± 150,4430 ± 120,120000 ± 8100,3298000 ± 93000,23920 ± 670,3614000 ± 94000,0.04333 ± 0.00066,273.4 ± 4.1,0.3217 ± 0.0054,282.9 ± 4.1,0.0399 ± 0.0026,788 ± 51,0.02166 ± 0.00033,138.2 ± 2.1,0.1608 ± 0.0027,151.3 ± 2.4,0.0199 ± 0.0013,399 ± 26,0.05372 ± 0.00041,355 ± 18,0.05358 ± 0.00082,336.4 ± 5.0,0.3937 ± 0.0066,336.7 ± 4.8,0 ± 0.0E+0,0 ± 0.0E+0,0.05322 ± 0.00041,334 ± 18,18.82 ± 0.28,-0.010 ± 0.082,792 ± 22,91.0 ± 6.2,0.887362,0.129608,
,,-,,,,,,,1349 ± 52,346 ± 27,150100 ± 5500,8280 ± 300,5450 ± 240,146000 ± 10000,3350000 ± 160000,24300 ± 1100,3680000 ± 170000,0 ± 0.0E+0,1.00E+0 ± 0,197 ± 52,58 ± 27,149700 ± 5500,8030 ± 300,4830 ± 240,146000 ± 10000,3350000 ± 160000,24300 ± 1100,3680000 ± 170000,25.3 ± 1.8,197 ± 52,58 ± 27,149700 ± 5500,8030 ± 300,4830 ± 240,146000 ± 10000,3350000 ± 160000,24300 ± 1100,3680000 ± 170000,0.04544 ± 0.00078,286.4 ± 4.8,0.3366 ± 0.0063,294.2 ± 4.7,0.0366 ± 0.0026,725 ± 50,0.02272 ± 0.00039,144.8 ± 2.5,0.1683 ± 0.0031,157.8 ± 2.7,0.0183 ± 0.0013,366 ± 26,0.05362 ± 0.00046,350 ± 19,0.05311 ± 0.00092,333.5 ± 5.6,0.3900 ± 0.0073,333.9 ± 5.3,0 ± 0.0E+0,0 ± 0.0E+0,0.05320 ± 0.00045,333 ± 19,18.96 ± 0.32,-0.002 ± 0.014,760 ± 36,91.2 ± 6.3,0.903743,0.1185,
,,-,,,,,,,1291 ± 46,311 ± 20,148500 ± 5300,8210 ± 290,4550 ± 170,115100 ± 8100,3200000 ± 150000,23200 ± 1100,3500000 ± 160000,0 ± 0.0E+0,1.00E+0 ± 0,127 ± 46,19 ± 20,148100 ± 5300,7940 ± 290,3890 ± 170,115100 ± 8100,3200000 ± 150000,23200 ± 1100,3500000 ± 160000,31.3 ± 2.3,127 ± 46,19 ± 20,148100 ± 5300,7940 ± 290,3890 ± 170,115100 ± 8100,3200000 ± 150000,23200 ± 1100,3500000 ± 160000,0.04716 ± 0.00085,297.0 ± 5.2,0.3484 ± 0.0065,303.2 ± 4.9,0.0383 ± 0.0029,745 ± 52,0.02358 ± 0.00043,150.2 ± 2.7,0.1742 ± 0.0032,162.9 ± 2.8,0.0191 ± 0.0015,377 ± 27,0.05367 ± 0.00036,354 ± 15,0.05346 ± 0.00097,335.6 ± 5.9,0.3920 ± 0.0073,335.3 ± 5.3,0 ± 0.0E+0,0 ± 0.0E+0,0.05327 ± 0.00035,337 ± 15,18.87 ± 0.35,0.0013 ± 0.0055,750 ± 35,72.5 ± 5.1,0.926098,0.111392,
,,-,,,,,,,1354 ± 48,358 ± 24,133000 ± 8500,7420 ± 470,4250 ± 260,110700 ± 9700,2740000 ± 200000,19800 ± 1400,3010000 ± 220000,0 ± 0.0E+0,1.00E+0 ± 0,179 ± 48,61 ± 24,132600 ± 8500,7140 ± 460,3540 ± 260,110700 ± 9700,2740000 ± 200000,19800 ± 1400,3010000 ± 220000,-170000000 ± 340000000,179 ± 48,61 ± 24,132600 ± 8500,7140 ± 460,3540 ± 260,110700 ± 9700,2740000 ± 200000,19800 ± 1400,3010000 ± 220000,0.04963 ± 0.00094,312.1 ± 5.8,0.3663 ± 0.0070,316.5 ± 5.2,-90000 ± 170000,672 ± 52,0.02481 ± 0.00047,158.0 ± 2.9,0.1832 ± 0.0035,170.6 ± 3.0,-43000 ± 85000,339 ± 27,0.05366 ± 0.00043,357 ± 17,0.0545 ± 0.0010,341.9 ± 6.3,0.3995 ± 0.0077,340.7 ± 5.5,0 ± 0.0E+0,0 ± 0.0E+0,0.05327 ± 0.00043,343 ± 17,18.55 ± 0.35,300 ± 580,672 ± 49,71.5 ± 6.2,0.903413,0.18255,
,,-,,,,,,,1265 ± 53,322 ± 24,45050 ± 670,3574 ± 66,5370 ± 140,47700 ± 5200,316000 ± 17000,2290 ± 120,424000 ± 18000,0 ± 0.0E+0,1.00E+0 ± 0,155 ± 53,52 ± 24,44790 ± 670,3385 ± 66,4890 ± 140,47700 ± 5200,316000 ± 17000,2290 ± 120,422000 ± 18000,8.9 ± 1.2,155 ± 53,52 ± 24,44790 ± 670,3385 ± 66,4890 ± 140,47700 ± 5200,316000 ± 17000,2290 ± 120,422000 ± 18000,0.1533 ± 0.0081,915 ± 44,1.591 ± 0.087,953 ± 32,0.140 ± 0.018,2580 ± 310,0.0766 ± 0.0040,475 ± 24,0.796 ± 0.043,587 ± 24,0.0698 ± 0.0090,1340 ± 170,0.07513 ± 0.00096,1069 ± 27,0.195 ± 0.010,1144 ± 55,2.01 ± 0.11,1101 ± 35,0 ± 0.0E+0,0 ± 0.0E+0,0.07433 ± 0.00095,1048 ± 27,5.44 ± 0.25,-0.00247 ± 0.00033,89.1 ± 4.8,49.9 ± 5.4,0.962806,0.00292913,
,,-,,,,,,,1214 ± 45,300 ± 22,30070 ± 830,2474 ± 59,3810 ± 130,27900 ± 3400,169000 ± 11000,1222 ± 83,235000 ± 13000,0 ± 0.0E+0,1.00E+0 ± 0,103 ± 45,30 ± 22,29810 ± 830,2283 ± 59,3330 ± 130,27900 ± 3400,169000 ± 11000,1222 ± 83,233000 ± 13000,-4700000000 ± 2400000000,103 ± 45,30 ± 22,29810 ± 830,2283 ± 59,3330 ± 130,27900 ± 3400,169000 ± 11000,1222 ± 83,233000 ± 13000,0.194 ± 0.013,1128 ± 67,2.07 ± 0.16,1103 ± 44,-92000000 ± 45000000,2570 ± 230,0.0968 ± 0.0065,592 ± 37,1.037 ± 0.078,701 ± 34,-46000000 ± 22000000,1330 ± 120,0.0773 ± 0.0012,1115 ± 32,0.246 ± 0.016,1400 ± 80,2.61 ± 0.20,1261 ± 46,0 ± 0.0E+0,0 ± 0.0E+0,0.0765 ± 0.0012,1094 ± 32,4.47 ± 0.27,1870000 ± 990000,46.8 ± 3.2,28.1 ± 3.4,0.986694,-0.144737,
,,-,,,,,,,1332 ± 52,355 ± 27,7300 ± 170,529 ± 17,1150 ± 48,117700 ± 8600,1071000 ± 36000,7770 ± 260,1202000 ± 41000,0 ± 0.0E+0,1.00E+0 ± 0,219 ± 52,84 ± 27,7040 ± 170,336 ± 17,668 ± 48,117700 ± 8600,1071000 ± 36000,7770 ± 260,1200000 ± 41000,10.18 ± 0.71,219 ± 52,84 ± 27,7040 ± 170,336 ± 17,668 ± 48,117700 ± 8600,1071000 ± 36000,7770 ± 260,1200000 ± 41000,0.00669 ± 0.00017,43.0 ± 1.1,0.0443 ± 0.0021,43.9 ± 2.0,0.00655 ± 0.00066,132 ± 13,0.003343 ± 0.000084,21.51 ± 0.54,0.0221 ± 0.0010,22.2 ± 1.0,0.00328 ± 0.00033,66.1 ± 6.6,0.0484 ± 0.0023,510 ± 81,0.00847 ± 0.00021,54.4 ± 1.4,0.0555 ± 0.0026,54.8 ± 2.5,0 ± 0.0E+0,0 ± 0.0E+0,0.0479 ± 0.0023,494 ± 81,119.9 ± 3.1,-0.00858 ± 0.00062,292.3 ± 9.8,112.6 ± 7.9,0.206958,0.327,
,,-,,,,,,,1307 ± 57,339 ± 28,423000 ± 19000,38400 ± 1700,57500 ± 3000,346000 ± 26000,2150000 ± 120000,15580 ± 870,3030000 ± 170000,0 ± 0.0E+0,1.00E+0 ± 0,192 ± 57,67 ± 28,423000 ± 19000,38200 ± 1700,57000 ± 3000,346000 ± 26000,2150000 ± 120000,15580 ± 870,3030000 ± 170000,6.52 ± 0.31,192 ± 57,67 ± 28,423000 ± 19000,38200 ± 1700,57000 ± 3000,346000 ± 26000,2150000 ± 120000,15580 ± 870,3030000 ± 170000,0.2003 ± 0.0041,1180 ± 23,2.493 ± 0.052,1267 ± 15,0.1734 ± 0.0071,3220 ± 120,0.1001 ± 0.0021,617 ± 13,1.247 ± 0.026,820 ± 11,0.0867 ± 0.0035,1678 ± 66,0.09032 ± 0.00049,1430 ± 10,0.2524 ± 0.0052,1454 ± 28,3.110 ± 0.065,1435 ± 16,0 ± 0.0E+0,0 ± 0.0E+0,0.08940 ± 0.00049,1411 ± 10,3.980 ± 0.084,0.00526 ± 0.00029,567 ± 32,316 ± 24,0.972152,0.11327,
,,-,,,,,,,1269 ± 48,335 ± 23,130800 ± 6800,7480 ± 380,13290 ± 370,302000 ± 15000,2500000 ± 160000,18100 ± 1100,2970000 ± 170000,0 ± 0.0E+0,1.00E+0 ± 0,152 ± 48,62 ± 23,130500 ± 6800,7280 ± 380,12790 ± 370,302000 ± 15000,2500000 ± 160000,18100 ± 1100,2970000 ± 170000,8.28 ± 0.45,152 ± 48,62 ± 23,130500 ± 6800,7280 ± 380,12790 ± 370,302000 ± 15000,2500000 ± 160000,18100 ± 1100,2970000 ± 170000,0.05368 ± 0.00097,337.8 ± 6.2,0.4133 ± 0.0082,350.6 ± 5.8,0.0433 ± 0.0019,856 ± 36,0.02684 ± 0.00049,171.2 ± 3.2,0.2066 ± 0.0041,190.5 ± 3.4,0.02167 ± 0.00094,433 ± 19,0.05580 ± 0.00049,439 ± 19,0.0677 ± 0.0013,422.0 ± 7.7,0.514 ± 0.010,420.5 ± 6.8,0 ± 0.0E+0,0 ± 0.0E+0,0.05524 ± 0.00048,417 ± 19,14.93 ± 0.28,0.00365 ± 0.00019,649 ± 40,268 ± 13,0.920225,0.00290958,
