Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb,
,,-,,,,,,,1295 ± 53,306 ± 25,109500 ± 2500,6080 ± 140,3310 ± 110,72100 ± 5800,2599000 ± 84000,18850 ± 610,2810000 ± 89000,14.9 ± 1.4,1.00E+0 ± 0,181 ± 53,35 ± 25,109300 ± 2500,5890 ± 140,2830 ± 110,72100 ± 5800,2599000 ± 84000,18850 ± 610,2808000 ± 89000,46.6 ± 5.7,181 ± 53,35 ± 25,109300 ± 2500,5890 ± 140,2830 ± 110,72100 ± 5800,2599000 ± 84000,18850 ± 610,2808000 ± 89000,0.04246 ± 0.00068,268.0 ± 4.2,0.3156 ± 0.0058,278.2 ± 4.5,0.0521 ± 0.0072,918 ± 97,0.956 ± 0.015,4319 ± 49,0.955 ± 0.017,679.4 ± 8.7,1.55 ± 0.22,16900 ± 1200,0.05396 ± 0.00047,365 ± 20,0.05426 ± 0.00085,340.6 ± 5.2,0.3972 ± 0.0070,339.2 ± 5.1,0 ± 0.0E+0,0 ± 0.0E+0,0.05337 ± 0.00047,340 ± 20,18.49 ± 0.30,14.3 ± 1.8,0.87062,-0.00270752,
,,-,,,,,,,1307 ± 47,318 ± 24,142600 ± 2500,7840 ± 160,4940 ± 120,120200 ± 8100,3318000 ± 86000,24060 ± 620,3621000 ± 91000,16.4 ± 1.5,1.00E+0 ± 0,181 ± 47,42 ± 24,142300 ± 2500,7620 ± 160,4410 ± 120,120200 ± 8100,3318000 ± 86000,24060 ± 620,3619000 ± 91000,30.1 ± 2.1,181 ± 47,42 ± 24,142300 ± 2500,7620 ± 160,4410 ± 120,120200 ± 8100,3318000 ± 86000,24060 ± 620,3619000 ± 91000,0.04323 ± 0.00067,272.8 ± 4.2,0.3215 ± 0.0054,282.7 ± 4.2,0.0400 ± 0.0026,790 ± 51,0.966 ± 0.012,4359 ± 41,0.971 ± 0.014,688.2 ± 7.4,1.182 ± 0.078,15360 ± 670,0.05377 ± 0.00040,359 ± 18,0.05366 ± 0.00067,336.9 ± 4.1,0.3956 ± 0.0059,338.1 ± 4.3,0 ± 0.0E+0,0 ± 0.0E+0,0.05322 ± 0.00040,336 ± 18,18.71 ± 0.24,9.54 ± 0.65,0.810476,0.165918,
,,-,,,,,,,1344 ± 57,341 ± 29,160700 ± 4900,8870 ± 270,5820 ± 230,156000 ± 12000,3670000 ± 140000,26600 ± 1000,4030000 ± 150000,12.1 ± 1.3,1.00E+0 ± 0,192 ± 57,53 ± 29,160400 ± 4900,8620 ± 270,5200 ± 230,156000 ± 12000,3670000 ± 140000,26600 ± 1000,4020000 ± 150000,26.0 ± 1.8,192 ± 57,53 ± 29,160400 ± 4900,8620 ± 270,5200 ± 230,156000 ± 12000,3670000 ± 140000,26600 ± 1000,4020000 ± 150000,0.04390 ± 0.00082,276.9 ± 5.0,0.3257 ± 0.0065,285.9 ± 5.0,0.0366 ± 0.0026,724 ± 51,1.006 ± 0.012,4483 ± 40,1.007 ± 0.015,706.6 ± 7.5,1.054 ± 0.073,14350 ± 710,0.05374 ± 0.00050,356 ± 21,0.05329 ± 0.00065,334.7 ± 4.0,0.3917 ± 0.0058,335.3 ± 4.2,0 ± 0.0E+0,0 ± 0.0E+0,0.05329 ± 0.00049,336 ± 21,18.84 ± 0.23,8.80 ± 0.62,0.758448,0.0556139,
,,-,,,,,,,1349 ± 49,321 ± 25,138600 ± 3300,7570 ± 190,4660 ± 130,128800 ± 7800,3098000 ± 97000,22480 ± 700,3410000 ± 100000,16.1 ± 1.4,1.00E+0 ± 0,190 ± 49,30 ± 25,138200 ± 3300,7310 ± 190,4020 ± 130,128800 ± 7800,3098000 ± 97000,22480 ± 700,3410000 ± 100000,26.1 ± 1.7,190 ± 49,30 ± 25,138200 ± 3300,7310 ± 190,4020 ± 130,128800 ± 7800,3098000 ± 97000,22480 ± 700,3410000 ± 100000,0.04461 ± 0.00071,281.3 ± 4.3,0.3264 ± 0.0056,286.5 ± 4.3,0.0335 ± 0.0023,664 ± 44,1.000 ± 0.013,4464 ± 40,0.988 ± 0.015,696.8 ± 7.5,1.002 ± 0.069,13790 ± 660,0.05322 ± 0.00047,333 ± 20,0.05233 ± 0.00066,328.8 ± 4.0,0.3796 ± 0.0057,326.5 ± 4.1,0 ± 0.0E+0,0 ± 0.0E+0,0.05280 ± 0.00047,315 ± 20,19.21 ± 0.24,9.01 ± 0.60,0.766004,0.0800626,
,,-,,,,,,,1292 ± 48,305 ± 21,150600 ± 5600,8320 ± 300,4600 ± 180,117500 ± 8400,3270000 ± 160000,23700 ± 1100,3570000 ± 170000,14.6 ± 1.4,1.00E+0 ± 0,128 ± 48,13 ± 21,150200 ± 5600,8050 ± 300,3940 ± 180,117500 ± 8400,3270000 ± 160000,23700 ± 1100,3570000 ± 170000,31.5 ± 2.4,128 ± 48,13 ± 21,150200 ± 5600,8050 ± 300,3940 ± 180,117500 ± 8400,3270000 ± 160000,23700 ± 1100,3570000 ± 170000,0.04688 ± 0.00088,295.3 ± 5.4,0.3464 ± 0.0066,301.6 ± 5.0,0.0379 ± 0.0029,750 ± 56,1.057 ± 0.015,4643 ± 47,1.054 ± 0.016,729.8 ± 8.0,1.112 ± 0.081,14680 ± 730,0.05369 ± 0.00036,355 ± 15,0.05488 ± 0.00079,344.4 ± 4.8,0.4019 ± 0.0062,342.7 ± 4.5,0 ± 0.0E+0,0 ± 0.0E+0,0.05328 ± 0.00036,337 ± 15,18.34 ± 0.26,11.02 ± 0.83,0.850362,0.115036,
,,-,,,,,,,1333 ± 53,364 ± 27,151000 ± 6800,8390 ± 370,4760 ± 230,126000 ± 10000,3230000 ± 170000,23500 ± 1200,3550000 ± 180000,13.4 ± 1.3,1.00E+0 ± 0,157 ± 53,66 ± 27,150600 ± 6800,8110 ± 370,4060 ± 230,126000 ± 10000,3230000 ± 170000,23500 ± 1200,3550000 ± 180000,28.8 ± 2.1,157 ± 53,66 ± 27,150600 ± 6800,8110 ± 370,4060 ± 230,126000 ± 10000,3230000 ± 170000,23500 ± 1200,3550000 ± 180000,0.0473 ± 0.0011,298.0 ± 6.5,0.3513 ± 0.0084,305.2 ± 6.3,0.0359 ± 0.0027,712 ± 53,1.071 ± 0.016,4686 ± 50,1.076 ± 0.018,740.4 ± 8.7,1.058 ± 0.083,14160 ± 770,0.05380 ± 0.00042,359 ± 18,0.05451 ± 0.00082,342.1 ± 5.0,0.4023 ± 0.0067,343.0 ± 4.9,0 ± 0.0E+0,0 ± 0.0E+0,0.05344 ± 0.00042,344 ± 18,18.43 ± 0.28,10.40 ± 0.76,0.882982,0.102237,
,,-,,,,,,,1275 ± 48,313 ± 23,44480 ± 680,3525 ± 65,5290 ± 140,46200 ± 4800,309000 ± 15000,2240 ± 110,414000 ± 16000,14.3 ± 1.4,1.00E+0 ± 0,165 ± 48,43 ± 23,44220 ± 680,3336 ± 65,4820 ± 140,46200 ± 4800,309000 ± 15000,2240 ± 110,412000 ± 16000,8.8 ± 1.1,165 ± 48,43 ± 23,44220 ± 680,3336 ± 65,4820 ± 140,46200 ± 4800,309000 ± 15000,2240 ± 110,412000 ± 16000,0.1530 ± 0.0074,914 ± 41,1.574 ± 0.076,951 ± 29,0.139 ± 0.017,2560 ± 280,3.45 ± 0.16,9510 ± 220,4.80 ± 0.23,1767 ± 39,4.13 ± 0.52,30500 ± 1800,0.07502 ± 0.00091,1066 ± 25,0.1976 ± 0.0092,1157 ± 49,2.012 ± 0.095,1109 ± 31,0 ± 0.0E+0,0 ± 0.0E+0,0.07417 ± 0.00090,1043 ± 25,5.34 ± 0.22,2.70 ± 0.33,0.951396,0.0518649,
,,-,,,,,,,1223 ± 59,290 ± 24,32570 ± 690,2622 ± 55,4000 ± 140,32400 ± 4400,191000 ± 13000,1382 ± 91,265000 ± 14000,11.0 ± 1.2,1.00E+0 ± 0,112 ± 59,19 ± 24,32310 ± 690,2431 ± 55,3530 ± 140,32400 ± 4400,191000 ± 13000,1382 ± 91,262000 ± 14000,-2000000000 ± 1800000000,112 ± 59,19 ± 24,32310 ± 690,2431 ± 55,3530 ± 140,32400 ± 4400,191000 ± 13000,1382 ± 91,262000 ± 14000,0.180 ± 0.012,1062 ± 63,1.90 ± 0.13,1058 ± 43,-45000000 ± 40000000,2490 ± 290,4.18 ± 0.28,10520 ± 360,5.88 ± 0.39,1930 ± 58,-890000000 ± 900000000,30400 ± 2000,0.0755 ± 0.0012,1078 ± 31,0.239 ± 0.016,1369 ± 80,2.46 ± 0.16,1242 ± 48,0 ± 0.0E+0,0 ± 0.0E+0,0.0746 ± 0.0012,1055 ± 32,4.54 ± 0.30,-620000000 ± 560000000,0.969325,0.0560583,
,,-,,,,,,,1327 ± 53,351 ± 27,7290 ± 170,527 ± 17,1146 ± 48,116300 ± 8800,1059000 ± 38000,7680 ± 280,1199000 ± 41000,15.5 ± 1.5,1.00E+0 ± 0,215 ± 53,80 ± 27,7030 ± 170,334 ± 17,664 ± 48,116300 ± 8800,1059000 ± 38000,7680 ± 280,1196000 ± 41000,10.46 ± 0.80,215 ± 53,80 ± 27,7030 ± 170,334 ± 17,664 ± 48,116300 ± 8800,1059000 ± 38000,7680 ± 280,1196000 ± 41000,0.00662 ± 0.00017,42.5 ± 1.1,0.0443 ± 0.0021,44.0 ± 2.0,0.00674 ± 0.00068,136 ± 14,0.1494 ± 0.0035,896 ± 19,0.1351 ± 0.0067,128.0 ± 5.9,0.192 ± 0.019,3510 ± 330,0.0491 ± 0.0024,527 ± 81,0.00850 ± 0.00020,54.6 ± 1.3,0.0563 ± 0.0028,55.5 ± 2.7,0 ± 0.0E+0,0 ± 0.0E+0,0.0485 ± 0.0023,509 ± 81,119.5 ± 2.8,3.21 ± 0.25,0.280979,-0.0161807,
,,-,,,,,,,1294 ± 55,334 ± 27,414000 ± 19000,37600 ± 1800,55900 ± 3100,335000 ± 26000,2090000 ± 120000,15150 ± 900,2940000 ± 170000,12.1 ± 1.3,1.00E+0 ± 0,178 ± 55,62 ± 27,414000 ± 19000,37400 ± 1800,55400 ± 3100,335000 ± 26000,2090000 ± 120000,15150 ± 900,2940000 ± 170000,6.51 ± 0.30,178 ± 55,62 ± 27,414000 ± 19000,37400 ± 1800,55400 ± 3100,335000 ± 26000,2090000 ± 120000,15150 ± 900,2940000 ± 170000,0.2001 ± 0.0040,1175 ± 21,2.493 ± 0.051,1267 ± 14,0.1726 ± 0.0070,3210 ± 120,4.622 ± 0.098,11110 ± 110,7.76 ± 0.17,2198 ± 19,4.99 ± 0.26,36280 ± 770,0.09037 ± 0.00051,1433 ± 10,0.2616 ± 0.0056,1496 ± 28,3.218 ± 0.071,1458 ± 17,0 ± 0.0E+0,0 ± 0.0E+0,0.08938 ± 0.00050,1412 ± 10,3.866 ± 0.077,2.010 ± 0.093,0.921511,0.0204607,
