Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 207Pb/206Pb v 238U/206Pb,rho 206Pb/238U v 207Pb/235U,
,,-,,,,,,,1628 ± 68,387 ± 31,457000 ± 10000,24560 ± 570,12470 ± 310,381000 ± 21000,11590000 ± 290000,84000 ± 2100,12560000 ± 310000,13.1 ± 1.2,1.00E+0 ± 0,416 ± 68,102 ± 31,457000 ± 10000,24410 ± 570,12100 ± 310,381000 ± 21000,11590000 ± 290000,84000 ± 2100,12560000 ± 310000,31.1 ± 1.4,416 ± 68,102 ± 31,457000 ± 10000,24410 ± 570,12100 ± 310,381000 ± 21000,11590000 ± 290000,84000 ± 2100,12560000 ± 310000,0.03966 ± 0.00037,250.7 ± 2.3,0.2920 ± 0.0032,260.1 ± 2.5,0.0323 ± 0.0015,642 ± 29,0.9599 ± 0.0081,4337 ± 27,0.9598 ± 0.0096,682.9 ± 5.0,0.991 ± 0.049,13790 ± 480,0.05342 ± 0.00032,344 ± 14,0.05386 ± 0.00045,338.2 ± 2.8,0.3957 ± 0.0040,338.4 ± 2.9,0 ± 0.0E+0,0 ± 0.0E+0,0.05330 ± 0.00032,339 ± 14,18.60 ± 0.16,9.81 ± 0.45,794 ± 20,82.0 ± 4.5,0.0189137,0.782471,
,,-,,,,,,,1661 ± 63,404 ± 34,312000 ± 12000,16820 ± 670,9510 ± 450,280000 ± 19000,7620000 ± 350000,55300 ± 2500,8310000 ± 380000,12.8 ± 1.2,1.00E+0 ± 0,503 ± 63,130 ± 34,312000 ± 12000,16650 ± 670,9100 ± 450,280000 ± 19000,7620000 ± 350000,55300 ± 2500,8300000 ± 380000,27.8 ± 1.3,503 ± 63,130 ± 34,312000 ± 12000,16650 ± 670,9100 ± 450,280000 ± 19000,7620000 ± 350000,55300 ± 2500,8300000 ± 380000,0.04088 ± 0.00051,258.3 ± 3.2,0.3003 ± 0.0039,266.5 ± 3.1,0.0336 ± 0.0017,668 ± 34,0.9924 ± 0.0096,4442 ± 31,0.992 ± 0.012,699.1 ± 5.9,1.005 ± 0.050,13990 ± 510,0.05331 ± 0.00037,339 ± 16,0.05286 ± 0.00051,332.1 ± 3.1,0.3868 ± 0.0046,331.9 ± 3.3,0 ± 0.0E+0,0 ± 0.0E+0,0.05301 ± 0.00037,326 ± 16,18.96 ± 0.18,8.97 ± 0.43,697 ± 32,78.9 ± 5.2,0.0663344,0.817048,
,,-,,,,,,,1615 ± 68,405 ± 37,294600 ± 7900,15960 ± 420,8300 ± 270,230000 ± 14000,7120000 ± 200000,51600 ± 1400,7720000 ± 210000,11.6 ± 1.2,1.00E+0 ± 0,463 ± 68,131 ± 37,294300 ± 7900,15780 ± 420,7880 ± 270,230000 ± 14000,7120000 ± 200000,51600 ± 1400,7720000 ± 210000,32.4 ± 1.8,463 ± 68,131 ± 37,294300 ± 7900,15780 ± 420,7880 ± 270,230000 ± 14000,7120000 ± 200000,51600 ± 1400,7720000 ± 210000,0.04158 ± 0.00059,262.6 ± 3.7,0.3066 ± 0.0046,271.4 ± 3.6,0.0353 ± 0.0020,701 ± 40,1.014 ± 0.011,4517 ± 36,1.015 ± 0.011,711.0 ± 5.6,1.088 ± 0.065,14660 ± 600,0.05363 ± 0.00036,353 ± 15,0.05362 ± 0.00057,336.7 ± 3.5,0.3927 ± 0.0043,336.2 ± 3.2,0 ± 0.0E+0,0 ± 0.0E+0,0.05329 ± 0.00036,338 ± 15,18.67 ± 0.21,10.41 ± 0.58,666 ± 18,66.4 ± 3.9,0.178669,0.825654,
,,-,,,,,,,1698 ± 81,419 ± 40,380700 ± 9500,20640 ± 510,10550 ± 290,297000 ± 16000,8800000 ± 230000,63800 ± 1700,9570000 ± 250000,11.8 ± 1.2,1.00E+0 ± 0,564 ± 81,149 ± 40,380500 ± 9500,20460 ± 510,10110 ± 290,297000 ± 16000,8800000 ± 230000,63800 ± 1700,9570000 ± 250000,30.9 ± 1.6,564 ± 81,149 ± 40,380500 ± 9500,20460 ± 510,10110 ± 290,297000 ± 16000,8800000 ± 230000,63800 ± 1700,9570000 ± 250000,0.04349 ± 0.00064,274.4 ± 4.0,0.3216 ± 0.0052,283.0 ± 4.0,0.0355 ± 0.0018,704 ± 35,1.055 ± 0.013,4640 ± 41,1.061 ± 0.014,733.9 ± 6.9,1.077 ± 0.057,14620 ± 530,0.05378 ± 0.00032,360 ± 13,0.05463 ± 0.00067,342.8 ± 4.1,0.4015 ± 0.0053,342.6 ± 3.8,0 ± 0.0E+0,0 ± 0.0E+0,0.05334 ± 0.00031,341 ± 13,18.33 ± 0.21,9.88 ± 0.50,862 ± 22,90.2 ± 5.0,0.110179,0.844735,
,,-,,,,,,,1608 ± 78,389 ± 37,119500 ± 2800,9100 ± 250,13270 ± 380,114000 ± 10000,856000 ± 36000,6210 ± 260,1119000 ± 42000,9.9 ± 1.1,1.00E+0 ± 0,390 ± 78,102 ± 37,119200 ± 2800,8950 ± 250,12910 ± 380,114000 ± 10000,856000 ± 36000,6210 ± 260,1117000 ± 42000,8.35 ± 0.80,390 ± 78,102 ± 37,119200 ± 2800,8950 ± 250,12910 ± 380,114000 ± 10000,856000 ± 36000,6210 ± 260,1117000 ± 42000,0.1394 ± 0.0041,840 ± 23,1.450 ± 0.043,907 ± 18,0.124 ± 0.011,2340 ± 190,3.45 ± 0.10,9620 ± 160,4.88 ± 0.15,1792 ± 26,3.87 ± 0.39,31200 ± 1500,0.07550 ± 0.00080,1078 ± 21,0.1949 ± 0.0059,1147 ± 32,2.024 ± 0.064,1119 ± 21,0 ± 0.0E+0,0 ± 0.0E+0,0.07535 ± 0.00080,1074 ± 21,5.20 ± 0.16,2.62 ± 0.25,56.6 ± 2.4,23.9 ± 2.2,0.182066,0.94556,
,,-,,,,,,,1577 ± 79,374 ± 37,130400 ± 2300,9910 ± 160,14290 ± 330,116900 ± 8900,1024000 ± 37000,7430 ± 270,1307000 ± 42000,9.3 ± 1.0,1.00E+0 ± 0,361 ± 79,88 ± 37,130200 ± 2300,9770 ± 160,13930 ± 330,116900 ± 8900,1024000 ± 37000,7430 ± 270,1305000 ± 42000,9.48 ± 0.88,361 ± 79,88 ± 37,130200 ± 2300,9770 ± 160,13930 ± 330,116900 ± 8900,1024000 ± 37000,7430 ± 270,1305000 ± 42000,0.1289 ± 0.0044,781 ± 25,1.327 ± 0.046,854 ± 20,0.129 ± 0.012,2430 ± 200,3.20 ± 0.10,9210 ± 150,4.42 ± 0.13,1715 ± 26,3.90 ± 0.37,31300 ± 1400,0.07474 ± 0.00079,1062 ± 20,0.1800 ± 0.0056,1066 ± 31,1.829 ± 0.055,1053 ± 20,0 ± 0.0E+0,0 ± 0.0E+0,0.07458 ± 0.00079,1058 ± 20,5.62 ± 0.17,2.98 ± 0.28,68.6 ± 2.5,24.6 ± 1.9,0.112257,0.940253,
,,-,,,,,,,1580 ± 66,355 ± 29,12550 ± 560,812 ± 36,2000 ± 110,277000 ± 18000,1909000 ± 94000,13850 ± 680,2220000 ± 110000,12.5 ± 1.3,1.00E+0 ± 0,366 ± 66,68 ± 29,12310 ± 560,663 ± 36,1630 ± 110,277000 ± 18000,1909000 ± 94000,13850 ± 680,2220000 ± 110000,7.04 ± 0.35,366 ± 66,68 ± 29,12310 ± 560,663 ± 36,1630 ± 110,277000 ± 18000,1909000 ± 94000,13850 ± 680,2220000 ± 110000,0.00643 ± 0.00016,41.3 ± 1.0,0.0488 ± 0.0020,48.3 ± 2.0,0.00634 ± 0.00059,128 ± 12,0.1575 ± 0.0037,942 ± 20,0.1596 ± 0.0079,149.7 ± 6.9,0.190 ± 0.018,3460 ± 290,0.0553 ± 0.0025,523 ± 77,0.00885 ± 0.00021,56.8 ± 1.3,0.0659 ± 0.0033,64.7 ± 3.1,0 ± 0.0E+0,0 ± 0.0E+0,0.0551 ± 0.0025,519 ± 77,114.6 ± 2.7,2.22 ± 0.11,129.3 ± 6.4,59.0 ± 3.7,0.00306804,0.252643,
,,-,,,,,,,1581 ± 91,399 ± 39,386700 ± 4100,35470 ± 400,79490 ± 950,593000 ± 28000,2130000 ± 53000,15450 ± 380,3231000 ± 69000,11.04 ± 0.97,1.00E+0 ± 0,371 ± 91,114 ± 39,386500 ± 4100,35320 ± 400,79130 ± 950,593000 ± 28000,2130000 ± 53000,15450 ± 380,3229000 ± 69000,3.68 ± 0.19,371 ± 91,114 ± 39,386500 ± 4100,35320 ± 400,79130 ± 950,593000 ± 28000,2130000 ± 53000,15450 ± 380,3229000 ± 69000,0.1831 ± 0.0044,1083 ± 24,2.305 ± 0.058,1212 ± 18,0.1374 ± 0.0062,2600 ± 110,4.47 ± 0.10,10940 ± 120,7.57 ± 0.16,2184 ± 21,4.20 ± 0.21,33090 ± 820,0.09139 ± 0.00058,1453 ± 12,0.2505 ± 0.0058,1440 ± 30,3.115 ± 0.065,1438 ± 18,0 ± 0.0E+0,0 ± 0.0E+0,0.09118 ± 0.00058,1449 ± 12,4.005 ± 0.095,1.163 ± 0.060,147.6 ± 3.7,129.1 ± 6.1,-0.0718699,0.962159,
,,-,,,,,,,1620 ± 79,361 ± 41,666000 ± 20000,199400 ± 6100,135500 ± 4900,352000 ± 24000,1264000 ± 45000,9160 ± 330,2635000 ± 83000,7.40 ± 0.97,1.00E+0 ± 0,460 ± 79,86 ± 41,666000 ± 20000,199300 ± 6100,135000 ± 4900,352000 ± 24000,1264000 ± 45000,9160 ± 330,2633000 ± 83000,3.59 ± 0.21,460 ± 79,86 ± 41,666000 ± 20000,199300 ± 6100,135000 ± 4900,352000 ± 24000,1264000 ± 45000,9160 ± 330,2633000 ± 83000,0.532 ± 0.013,2745 ± 54,21.96 ± 0.55,3178 ± 24,0.389 ± 0.020,6610 ± 290,13.40 ± 0.32,17170 ± 140,74.7 ± 1.8,4389 ± 25,11.93 ± 0.78,51200 ± 1100,0.2995 ± 0.0013,3466.6 ± 6.8,0.715 ± 0.017,3474 ± 64,29.21 ± 0.72,3456 ± 24,0 ± 0.0E+0,0 ± 0.0E+0,0.2978 ± 0.0013,3458.1 ± 6.8,1.409 ± 0.034,1.157 ± 0.067,114.6 ± 4.1,98.4 ± 6.8,0.156451,0.976048,
,,-,,,,,,,1561 ± 89,343 ± 33,112500 ± 4100,8670 ± 270,11920 ± 480,105000 ± 11000,836000 ± 42000,6060 ± 300,1095000 ± 45000,6.86 ± 0.91,1.00E+0 ± 0,406 ± 89,69 ± 33,112300 ± 4100,8500 ± 270,11500 ± 480,105000 ± 11000,836000 ± 42000,6060 ± 300,1093000 ± 45000,8.66 ± 0.96,406 ± 89,69 ± 33,112300 ± 4100,8500 ± 270,11500 ± 480,105000 ± 11000,836000 ± 42000,6060 ± 300,1093000 ± 45000,0.1356 ± 0.0049,819 ± 28,1.404 ± 0.053,893 ± 24,0.116 ± 0.011,2200 ± 200,3.46 ± 0.14,9610 ± 190,4.80 ± 0.17,1786 ± 33,3.37 ± 0.34,29400 ± 1400,0.07517 ± 0.00092,1070 ± 24,0.1840 ± 0.0073,1087 ± 39,1.865 ± 0.067,1071 ± 26,0 ± 0.0E+0,0 ± 0.0E+0,0.07472 ± 0.00092,1058 ± 24,5.54 ± 0.20,2.79 ± 0.31,77.1 ± 3.8,29.9 ± 3.1,-0.191265,0.957794,
