Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,
,,-,,,,,,,1266 ± 62,308 ± 28,113600 ± 2600,6270 ± 150,3430 ± 110,74600 ± 6700,2745000 ± 83000,19910 ± 600,2965000 ± 87000,0 ± 0.0E+0,1.00E+0 ± 0,152 ± 62,37 ± 28,113300 ± 2600,6080 ± 150,2940 ± 110,74600 ± 6700,2745000 ± 83000,19910 ± 600,2962000 ± 87000,46.8 ± 6.1,152 ± 62,37 ± 28,113300 ± 2600,6080 ± 150,2940 ± 110,74600 ± 6700,2745000 ± 83000,19910 ± 600,2962000 ± 87000,0.04174 ± 0.00074,263.6 ± 4.5,0.3099 ± 0.0064,273.8 ± 4.9,0.0521 ± 0.0080,920 ± 110,0.02087 ± 0.00037,133.1 ± 2.3,0.3099 ± 0.0064,273.8 ± 4.9,0.0521 ± 0.0080,920 ± 110,0.05383 ± 0.00054,359 ± 23,0.05536 ± 0.00098,347.3 ± 6.0,0.4089 ± 0.0084,347.6 ± 6.1,0 ± 0.0E+0,0 ± 0.0E+0,0.05329 ± 0.00054,336 ± 23,18.20 ± 0.32,13.3 ± 1.7,698 ± 21,67.4 ± 6.1,
,,-,,,,,,,1181 ± 87,309 ± 40,142200 ± 5900,7820 ± 330,4950 ± 250,119000 ± 14000,3510000 ± 150000,25500 ± 1100,3770000 ± 190000,0 ± 0.0E+0,1.00E+0 ± 0,55 ± 87,32 ± 40,141900 ± 5900,7600 ± 330,4420 ± 250,119000 ± 14000,3510000 ± 150000,25500 ± 1100,3770000 ± 190000,32.1 ± 3.5,55 ± 87,32 ± 40,141900 ± 5900,7600 ± 330,4420 ± 250,119000 ± 14000,3510000 ± 150000,25500 ± 1100,3770000 ± 190000,0.04036 ± 0.00093,255.0 ± 5.7,0.2988 ± 0.0065,265.3 ± 5.0,0.0401 ± 0.0040,793 ± 78,0.02018 ± 0.00046,128.8 ± 2.9,0.2988 ± 0.0065,265.3 ± 5.0,0.0401 ± 0.0040,793 ± 78,0.05378 ± 0.00088,356 ± 37,0.0528 ± 0.0012,331.5 ± 7.4,0.3883 ± 0.0084,332.9 ± 6.1,0 ± 0.0E+0,0 ± 0.0E+0,0.05326 ± 0.00087,334 ± 37,19.07 ± 0.45,9.4 ± 1.0,862 ± 38,96 ± 11,
,,-,,,,,,,1333 ± 85,314 ± 43,169000 ± 8600,9360 ± 480,6290 ± 360,165000 ± 19000,4060000 ± 180000,29400 ± 1300,4440000 ± 200000,0 ± 0.0E+0,1.00E+0 ± 0,181 ± 85,26 ± 43,168700 ± 8600,9110 ± 480,5670 ± 360,165000 ± 19000,4060000 ± 180000,29400 ± 1300,4440000 ± 200000,27.7 ± 3.3,181 ± 85,26 ± 43,168700 ± 8600,9110 ± 480,5670 ± 360,165000 ± 19000,4060000 ± 180000,29400 ± 1300,4440000 ± 200000,0.04139 ± 0.00089,261.4 ± 5.5,0.3088 ± 0.0074,273.1 ± 5.8,0.0377 ± 0.0043,746 ± 83,0.02070 ± 0.00045,132.0 ± 2.8,0.3088 ± 0.0074,273.1 ± 5.8,0.0377 ± 0.0043,746 ± 83,0.05399 ± 0.00078,366 ± 33,0.0525 ± 0.0011,329.8 ± 6.9,0.3884 ± 0.0093,332.9 ± 6.8,0 ± 0.0E+0,0 ± 0.0E+0,0.05350 ± 0.00078,345 ± 33,19.15 ± 0.41,8.6 ± 1.0,923 ± 42,107 ± 12,
,,-,,,,,,,1290 ± 67,300 ± 34,141000 ± 10000,7680 ± 540,4640 ± 310,128000 ± 16000,3350000 ± 220000,24300 ± 1600,3650000 ± 250000,0 ± 0.0E+0,1.00E+0 ± 0,130 ± 67,9 ± 34,140000 ± 10000,7420 ± 540,4000 ± 310,128000 ± 16000,3350000 ± 220000,24300 ± 1600,3650000 ± 250000,30.0 ± 4.3,130 ± 67,9 ± 34,140000 ± 10000,7420 ± 540,4000 ± 310,128000 ± 16000,3350000 ± 220000,24300 ± 1600,3650000 ± 250000,0.0416 ± 0.0010,262.4 ± 6.4,0.3042 ± 0.0082,269.4 ± 6.4,0.0369 ± 0.0059,730 ± 110,0.02078 ± 0.00052,132.6 ± 3.3,0.3042 ± 0.0082,269.4 ± 6.4,0.0369 ± 0.0059,730 ± 110,0.05314 ± 0.00076,330 ± 32,0.0523 ± 0.0013,328.4 ± 8.0,0.379 ± 0.010,326.1 ± 7.5,0 ± 0.0E+0,0 ± 0.0E+0,0.05267 ± 0.00075,309 ± 33,19.28 ± 0.50,9.4 ± 1.3,747 ± 50,78.7 ± 9.7,
,,-,,,,,,,1288 ± 61,286 ± 25,175600 ± 5300,9680 ± 290,5290 ± 190,132000 ± 12000,3950000 ± 150000,28700 ± 1100,4340000 ± 150000,0 ± 0.0E+0,1.00E+0 ± 0,124 ± 61,-6 ± 25,175200 ± 5300,9420 ± 290,4620 ± 190,132000 ± 12000,3950000 ± 150000,28700 ± 1100,4340000 ± 150000,33.0 ± 3.1,124 ± 61,-6 ± 25,175200 ± 5300,9420 ± 290,4620 ± 190,132000 ± 12000,3950000 ± 150000,28700 ± 1100,4340000 ± 150000,0.04432 ± 0.00096,279.5 ± 5.9,0.3286 ± 0.0077,288.2 ± 5.9,0.0386 ± 0.0036,763 ± 70,0.02216 ± 0.00048,141.3 ± 3.0,0.3286 ± 0.0077,288.2 ± 5.9,0.0386 ± 0.0036,763 ± 70,0.05376 ± 0.00045,358 ± 19,0.0555 ± 0.0012,348.0 ± 7.4,0.4074 ± 0.0096,346.6 ± 6.9,0 ± 0.0E+0,0 ± 0.0E+0,0.05329 ± 0.00045,338 ± 19,18.17 ± 0.40,10.50 ± 0.98,871 ± 33,78.9 ± 6.9,
,,-,,,,,,,1326 ± 72,362 ± 37,170700 ± 8300,9450 ± 460,5320 ± 290,140000 ± 14000,3800000 ± 190000,27500 ± 1400,4150000 ± 200000,0 ± 0.0E+0,1.00E+0 ± 0,151 ± 72,65 ± 37,170300 ± 8300,9170 ± 460,4610 ± 290,140000 ± 14000,3800000 ± 190000,27500 ± 1400,4150000 ± 200000,30.6 ± 2.8,151 ± 72,65 ± 37,170300 ± 8300,9170 ± 460,4610 ± 290,140000 ± 14000,3800000 ± 190000,27500 ± 1400,4150000 ± 200000,0.0450 ± 0.0012,283.7 ± 7.4,0.3344 ± 0.0096,292.5 ± 7.3,0.0367 ± 0.0036,727 ± 70,0.02251 ± 0.00060,143.5 ± 3.8,0.3344 ± 0.0096,292.5 ± 7.3,0.0367 ± 0.0036,727 ± 70,0.05387 ± 0.00056,362 ± 23,0.0556 ± 0.0015,348.6 ± 9.1,0.409 ± 0.012,347.4 ± 8.4,0 ± 0.0E+0,0 ± 0.0E+0,0.05342 ± 0.00056,343 ± 23,18.21 ± 0.49,10.01 ± 0.90,812 ± 40,77.3 ± 7.7,
,,-,,,,,,,1241 ± 92,276 ± 35,47700 ± 1500,3780 ± 130,5560 ± 240,56000 ± 8900,354000 ± 27000,2570 ± 190,474000 ± 28000,0 ± 0.0E+0,1.00E+0 ± 0,131 ± 92,7 ± 35,47500 ± 1500,3590 ± 130,5090 ± 240,56000 ± 8900,354000 ± 27000,2570 ± 190,472000 ± 28000,8.1 ± 1.6,131 ± 92,7 ± 35,47500 ± 1500,3590 ± 130,5090 ± 240,56000 ± 8900,354000 ± 27000,2570 ± 190,472000 ± 28000,0.141 ± 0.010,849 ± 57,1.45 ± 0.10,909 ± 45,0.116 ± 0.024,2070 ± 360,0.0707 ± 0.0051,439 ± 30,1.45 ± 0.10,909 ± 45,0.116 ± 0.024,2070 ± 360,0.0753 ± 0.0015,1078 ± 43,0.188 ± 0.014,1108 ± 73,1.92 ± 0.14,1087 ± 50,0 ± 0.0E+0,0 ± 0.0E+0,0.0745 ± 0.0015,1058 ± 43,5.52 ± 0.35,2.28 ± 0.46,91.3 ± 6.8,52.9 ± 8.4,
,,-,,,,,,,1200 ± 100,311 ± 45,32800 ± 1800,2650 ± 130,3940 ± 260,29900 ± 7200,174000 ± 20000,1260 ± 150,245000 ± 23000,0 ± 0.0E+0,1.00E+0 ± 0,90 ± 100,40 ± 45,32500 ± 1800,2460 ± 130,3460 ± 260,29900 ± 7200,174000 ± 20000,1260 ± 150,243000 ± 23000,-3500000000 ± 4300000000,90 ± 100,40 ± 45,32500 ± 1800,2460 ± 130,3460 ± 260,29900 ± 7200,174000 ± 20000,1260 ± 150,243000 ± 23000,0.204 ± 0.026,1190 ± 130,2.05 ± 0.23,1129 ± 81,-59000000 ± 66000000,2560 ± 500,0.102 ± 0.013,623 ± 75,2.05 ± 0.23,1129 ± 81,-59000000 ± 66000000,2560 ± 500,0.0758 ± 0.0020,1080 ± 54,0.272 ± 0.035,1530 ± 170,2.72 ± 0.31,1327 ± 87,0 ± 0.0E+0,0 ± 0.0E+0,0.0750 ± 0.0020,1059 ± 54,4.11 ± 0.41,-1000000000 ± 1200000000,44.6 ± 5.3,27.8 ± 6.7,
,,-,,,,,,,1261 ± 84,332 ± 38,7480 ± 430,555 ± 34,1199 ± 93,121000 ± 14000,1140000 ± 74000,8270 ± 540,1280000 ± 81000,0 ± 0.0E+0,1.00E+0 ± 0,148 ± 84,61 ± 38,7210 ± 430,362 ± 34,717 ± 93,121000 ± 14000,1140000 ± 74000,8270 ± 540,1278000 ± 81000,10.6 ± 1.2,148 ± 84,61 ± 38,7210 ± 430,362 ± 34,717 ± 93,121000 ± 14000,1140000 ± 74000,8270 ± 540,1278000 ± 81000,0.00626 ± 0.00025,40.2 ± 1.6,0.0433 ± 0.0029,43.0 ± 2.8,0.0069 ± 0.0012,140 ± 23,0.00313 ± 0.00013,20.13 ± 0.80,0.0433 ± 0.0029,43.0 ± 2.8,0.0069 ± 0.0012,140 ± 23,0.0517 ± 0.0039,590 ± 140,0.00831 ± 0.00033,53.4 ± 2.1,0.0572 ± 0.0039,56.4 ± 3.7,0 ± 0.0E+0,0 ± 0.0E+0,0.0511 ± 0.0038,570 ± 140,123.0 ± 5.2,3.00 ± 0.35,291 ± 19,111 ± 13,
,,-,,,,,,,1261 ± 78,314 ± 36,489000 ± 17000,44500 ± 1600,67900 ± 2700,417000 ± 31000,2570000 ± 110000,18610 ± 810,3620000 ± 150000,0 ± 0.0E+0,1.00E+0 ± 0,146 ± 78,41 ± 36,489000 ± 17000,44300 ± 1600,67400 ± 2700,417000 ± 31000,2570000 ± 110000,18610 ± 810,3610000 ± 150000,6.05 ± 0.30,146 ± 78,41 ± 36,489000 ± 17000,44300 ± 1600,67400 ± 2700,417000 ± 31000,2570000 ± 110000,18610 ± 810,3610000 ± 150000,0.1925 ± 0.0043,1134 ± 23,2.397 ± 0.053,1243 ± 17,0.1589 ± 0.0073,2970 ± 130,0.0963 ± 0.0022,592 ± 13,2.397 ± 0.053,1243 ± 17,0.1589 ± 0.0073,2970 ± 130,0.09075 ± 0.00069,1439 ± 15,0.2549 ± 0.0057,1463 ± 29,3.157 ± 0.070,1448 ± 18,0 ± 0.0E+0,0 ± 0.0E+0,0.08984 ± 0.00068,1420 ± 15,3.949 ± 0.085,1.729 ± 0.086,649 ± 28,371 ± 27,
