Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,Mask,BeamSeconds,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
91500,,-,,,,,,,1294 ± 51,332 ± 26,55000 ± 1400,4340 ± 110,6520 ± 180,52900 ± 5200,370000 ± 19000,2680 ± 140,489000 ± 22000,1.00E+0 ± 0,0 ± 0.0E+0,172 ± 51,57 ± 26,54700 ± 1400,4130 ± 110,6000 ± 180,52900 ± 5200,370000 ± 19000,2680 ± 140,487000 ± 22000,-260000000 ± 520000000,172 ± 51,57 ± 26,54700 ± 1400,4130 ± 110,6000 ± 180,52900 ± 5200,370000 ± 19000,2680 ± 140,487000 ± 22000,0.1512 ± 0.0055,905 ± 30,1.598 ± 0.065,959 ± 24,-5100000 ± 9900000,2580 ± 250,0.0756 ± 0.0027,469 ± 16,0.799 ± 0.033,591 ± 18,-2500000 ± 5000000,1340 ± 140,0.07567 ± 0.00080,1083 ± 21,0.1791 ± 0.0065,1059 ± 35,1.859 ± 0.076,1055 ± 26,-0.14 ± 0.28,0.0000793 ± 0.0000085,0.07509 ± 0.00079,1068 ± 21,5.71 ± 0.21,-10 ± 20,75.5 ± 3.9,27.9 ± 2.7,0.972011,0.018329
91500,,-,,,,,,,1322 ± 48,357 ± 23,58300 ± 1900,4580 ± 150,6830 ± 240,55800 ± 5300,367000 ± 19000,2660 ± 140,500000 ± 24000,1.00E+0 ± 0,0 ± 0.0E+0,173 ± 48,70 ± 23,58000 ± 1900,4330 ± 150,6220 ± 240,55800 ± 5300,367000 ± 19000,2660 ± 140,497000 ± 24000,8.46 ± 0.93,173 ± 48,70 ± 23,58000 ± 1900,4330 ± 150,6220 ± 240,55800 ± 5300,367000 ± 19000,2660 ± 140,497000 ± 24000,0.1610 ± 0.0054,960 ± 29,1.654 ± 0.057,986 ± 22,0.146 ± 0.016,2560 ± 230,0.0805 ± 0.0027,498 ± 16,0.827 ± 0.029,610 ± 16,0.0730 ± 0.0081,1330 ± 130,0.07466 ± 0.00077,1054 ± 21,0.1790 ± 0.0060,1059 ± 32,1.829 ± 0.063,1050 ± 23,0.00000006 ± 0.00000023,0.0012 ± 0.0047,0.07446 ± 0.00076,1048 ± 21,5.72 ± 0.18,0.000004 ± 0.000012,91.6 ± 4.7,33.8 ± 3.2,0.961771,0.05907
91500,,-,,,,,,,1328 ± 51,313 ± 23,44400 ± 1400,3580 ± 110,5170 ± 170,49300 ± 5200,277000 ± 16000,2010 ± 110,383000 ± 19000,1.00E+0 ± 0,0 ± 0.0E+0,167 ± 51,22 ± 23,44100 ± 1400,3320 ± 110,4510 ± 170,49300 ± 5200,277000 ± 16000,2010 ± 110,381000 ± 19000,-890000000 ± 730000000,167 ± 51,22 ± 23,44100 ± 1400,3320 ± 110,4510 ± 170,49300 ± 5200,277000 ± 16000,2010 ± 110,381000 ± 19000,0.1663 ± 0.0070,988 ± 38,1.739 ± 0.080,1009 ± 29,-8000000 ± 9200000,2100 ± 220,0.0832 ± 0.0035,514 ± 21,0.870 ± 0.040,628 ± 21,-4000000 ± 4600000,1050 ± 110,0.07508 ± 0.00091,1066 ± 25,0.1801 ± 0.0076,1063 ± 41,1.875 ± 0.086,1057 ± 30,0.059 ± 0.068,150 ± 290,0.07490 ± 0.00091,1061 ± 25,5.82 ± 0.26,4.5 ± 3.7,79.5 ± 4.5,33.6 ± 3.5,0.969975,-0.0511185
91500,,-,,,,,,,1308 ± 47,322 ± 24,35300 ± 1100,2884 ± 94,4140 ± 160,32800 ± 4100,222000 ± 14000,1608 ± 99,302000 ± 17000,1.00E+0 ± 0,0 ± 0.0E+0,135 ± 47,26 ± 24,35000 ± 1100,2606 ± 94,3440 ± 160,32800 ± 4100,222000 ± 14000,1608 ± 99,299000 ± 17000,-3400000000 ± 1400000000,135 ± 47,26 ± 24,35000 ± 1100,2606 ± 94,3440 ± 160,32800 ± 4100,222000 ± 14000,1608 ± 99,299000 ± 17000,0.1687 ± 0.0088,999 ± 47,1.76 ± 0.10,1011 ± 34,-52000000 ± 21000000,2170 ± 220,0.0844 ± 0.0044,520 ± 26,0.881 ± 0.050,630 ± 25,-26000000 ± 11000000,1120 ± 120,0.0755 ± 0.0011,1072 ± 29,0.1782 ± 0.0092,1051 ± 49,1.85 ± 0.11,1043 ± 34,0.161 ± 0.066,2200 ± 890,0.0753 ± 0.0011,1066 ± 29,6.02 ± 0.28,7.3 ± 3.0,76.1 ± 4.7,26.4 ± 3.3,0.981708,-0.0436392
FC1,,-,,,,,,,1271 ± 50,319 ± 23,44280 ± 680,3506 ± 65,5300 ± 130,45600 ± 4700,305000 ± 16000,2200 ± 110,408000 ± 17000,1.00E+0 ± 0,0 ± 0.0E+0,162 ± 50,49 ± 23,44020 ± 680,3318 ± 65,4830 ± 130,45600 ± 4700,305000 ± 16000,2200 ± 110,405000 ± 17000,8.7 ± 1.1,162 ± 50,49 ± 23,44020 ± 680,3318 ± 65,4830 ± 130,45600 ± 4700,305000 ± 16000,2200 ± 110,405000 ± 17000,0.1546 ± 0.0073,923 ± 40,1.601 ± 0.077,957 ± 29,0.139 ± 0.016,2570 ± 280,0.0773 ± 0.0036,479 ± 22,0.800 ± 0.039,590 ± 21,0.0693 ± 0.0080,1340 ± 150,0.07496 ± 0.00088,1064 ± 25,0.1894 ± 0.0089,1113 ± 47,1.910 ± 0.092,1070 ± 31,0.0000000143 ± 0.0000000017,0.000289 ± 0.000034,0.07413 ± 0.00087,1042 ± 25,5.56 ± 0.24,-0.000000304 ± 0.000000038,57.2 ± 2.9,22.8 ± 2.3,0.966046,0.0498754
9453,,-,,,,,,,1332 ± 52,355 ± 27,7300 ± 170,529 ± 17,1150 ± 48,117700 ± 8600,1071000 ± 36000,7770 ± 260,1202000 ± 41000,1.00E+0 ± 0,0 ± 0.0E+0,219 ± 52,84 ± 27,7040 ± 170,336 ± 17,668 ± 48,117700 ± 8600,1071000 ± 36000,7770 ± 260,1200000 ± 41000,10.18 ± 0.71,219 ± 52,84 ± 27,7040 ± 170,336 ± 17,668 ± 48,117700 ± 8600,1071000 ± 36000,7770 ± 260,1200000 ± 41000,0.00669 ± 0.00017,43.0 ± 1.1,0.0443 ± 0.0021,43.9 ± 2.0,0.00655 ± 0.00066,132 ± 13,0.003343 ± 0.000084,21.51 ± 0.54,0.0221 ± 0.0010,22.2 ± 1.0,0.00328 ± 0.00033,66.1 ± 6.6,0.0484 ± 0.0023,510 ± 81,0.00813 ± 0.00021,52.2 ± 1.3,0.0525 ± 0.0025,51.9 ± 2.4,0 ± 4.3E-11,0.00000857 ± 0.00000086,0.0479 ± 0.0023,494 ± 81,125.0 ± 3.2,-0.000000625 ± 0.000000044,205.5 ± 7.0,59.5 ± 4.4,0.206983,0.327008
Ples,,-,,,,,,,1307 ± 54,302 ± 25,109000 ± 2600,6040 ± 150,3290 ± 110,71600 ± 5800,2574000 ± 88000,18670 ± 640,2784000 ± 93000,1.00E+0 ± 0,0 ± 0.0E+0,194 ± 54,31 ± 25,108700 ± 2600,5850 ± 150,2810 ± 110,71600 ± 5800,2574000 ± 88000,18670 ± 640,2782000 ± 93000,46.4 ± 5.8,194 ± 54,31 ± 25,108700 ± 2600,5850 ± 150,2810 ± 110,71600 ± 5800,2574000 ± 88000,18670 ± 640,2782000 ± 93000,0.04270 ± 0.00068,269.5 ± 4.2,0.3166 ± 0.0057,279.0 ± 4.4,0.0519 ± 0.0073,913 ± 95,0.02135 ± 0.00034,136.2 ± 2.2,0.1583 ± 0.0029,149.1 ± 2.5,0.0259 ± 0.0036,463 ± 49,0.05385 ± 0.00047,360 ± 20,0.05172 ± 0.00083,325.0 ± 5.1,0.3746 ± 0.0068,322.7 ± 5.0,2.83E-9 ± 0,0.0000514 ± 0.0000056,0.05332 ± 0.00047,338 ± 20,19.49 ± 0.31,-0.00000458 ± 0.00000057,498 ± 17,36.4 ± 3.0,0.878768,0.0423559
Oracle,,-,,,,,,,1307 ± 57,339 ± 28,423000 ± 19000,38400 ± 1700,57500 ± 3000,346000 ± 26000,2150000 ± 120000,15580 ± 870,3030000 ± 170000,1.00E+0 ± 0,0 ± 0.0E+0,192 ± 57,67 ± 28,423000 ± 19000,38200 ± 1700,57000 ± 3000,346000 ± 26000,2150000 ± 120000,15580 ± 870,3030000 ± 170000,6.52 ± 0.31,192 ± 57,67 ± 28,423000 ± 19000,38200 ± 1700,57000 ± 3000,346000 ± 26000,2150000 ± 120000,15580 ± 870,3030000 ± 170000,0.2003 ± 0.0041,1180 ± 23,2.493 ± 0.052,1267 ± 15,0.1734 ± 0.0071,3220 ± 120,0.1001 ± 0.0021,617 ± 13,1.247 ± 0.026,820 ± 11,0.0867 ± 0.0035,1678 ± 66,0.09032 ± 0.00049,1430 ± 10,0.2416 ± 0.0050,1398 ± 27,2.941 ± 0.061,1392 ± 16,8.16E-9 ± 0,0.0001649 ± 0.0000069,0.08946 ± 0.00049,1412 ± 10,4.158 ± 0.088,-0.000001738 ± 0.000000081,420 ± 23,177 ± 13,0.972147,0.113652
Temora2,,-,,,,,,,1269 ± 48,335 ± 23,130800 ± 6800,7480 ± 380,13290 ± 370,302000 ± 15000,2500000 ± 160000,18100 ± 1100,2970000 ± 170000,1.00E+0 ± 0,0 ± 0.0E+0,152 ± 48,62 ± 23,130500 ± 6800,7280 ± 380,12790 ± 370,302000 ± 15000,2500000 ± 160000,18100 ± 1100,2970000 ± 170000,8.28 ± 0.45,152 ± 48,62 ± 23,130500 ± 6800,7280 ± 380,12790 ± 370,302000 ± 15000,2500000 ± 160000,18100 ± 1100,2970000 ± 170000,0.05368 ± 0.00097,337.8 ± 6.2,0.4133 ± 0.0082,350.6 ± 5.8,0.0433 ± 0.0019,856 ± 36,0.02684 ± 0.00049,171.2 ± 3.2,0.2066 ± 0.0041,190.5 ± 3.4,0.02167 ± 0.00094,433 ± 19,0.05580 ± 0.00049,439 ± 19,0.0647 ± 0.0012,404.1 ± 7.4,0.4862 ± 0.0096,401.6 ± 6.5,1.81E-9 ± 0,0.0000366 ± 0.0000016,0.05529 ± 0.00048,419 ± 19,15.61 ± 0.29,0.00000455 ± 0.00000021,491 ± 31,155.3 ± 7.8,0.920207,0.003352
TANBR,,-,,,,,,,1293 ± 45,353 ± 26,811000 ± 24000,134300 ± 3900,241400 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,1.00E+0 ± 0,0 ± 0.0E+0,174 ± 45,80 ± 26,811000 ± 24000,134100 ± 3900,240900 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,2.438 ± 0.065,174 ± 45,80 ± 26,811000 ± 24000,134100 ± 3900,240900 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,0.3792 ± 0.0065,2070 ± 30,8.65 ± 0.15,2298 ± 15,0.2720 ± 0.0061,4856 ± 96,0.1896 ± 0.0033,1118 ± 18,4.327 ± 0.074,1695 ± 14,0.1360 ± 0.0030,2575 ± 54,0.16557 ± 0.00056,2512.2 ± 5.6,0.4542 ± 0.0078,2411 ± 34,10.15 ± 0.17,2445 ± 15,1.01E-8 ± 0,0.0002050 ± 0.0000046,0.16410 ± 0.00055,2497.2 ± 5.6,2.219 ± 0.036,0.0000003009 ± 0.0000000086,429 ± 16,461 ± 19,0.980818,0.155439
