Label,Comment,Components,Shape,Height,Width,Rep Rate,Speed,Angle,Hg202,Pb204,Pb206,Pb207,Pb208,Th232,U238,U235,TotalBeam,BeamSeconds,Mask,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Raw U/Th,Hg202_CPS,Pb204_CPS,Pb206_CPS,Pb207_CPS,Pb208_CPS,Th232_CPS,U238_CPS,U235_CPS,TotalBeam_CPS,Pb206/U238,Pb206/U238 age,Pb207/U235,Pb207/U235 age,Pb208/Th232,Pb208/Th232 age,DC Pb206/U238,DC Pb206/U238 age,DC Pb207/U235,DC Pb207/U235 age,DC Pb208/Th232,DC Pb208/Th232 age,DC Pb207/Pb206,DC Pb207/Pb206 age,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb208/Th232,Final Pb208/Th232 age,Final Pb207/Pb206,Final Pb207/Pb206 age,Final U238/Pb206,Final U/Th,Approx_U_PPM,Approx_Th_PPM,rho 206Pb/238U v 207Pb/235U,rho 207Pb/206Pb v 238U/206Pb
OG1,,-,,,,,,,1284 ± 49,319 ± 24,460000 ± 17000,138400 ± 5100,76300 ± 2600,193000 ± 12000,815000 ± 40000,5910 ± 290,1690000 ± 69000,0 ± 0.0E+0,1.00E+0 ± 0,165 ± 49,45 ± 24,459000 ± 17000,138200 ± 5100,75800 ± 2600,193000 ± 12000,815000 ± 40000,5910 ± 290,1688000 ± 69000,4.49 ± 0.28,165 ± 49,45 ± 24,459000 ± 17000,138200 ± 5100,75800 ± 2600,193000 ± 12000,815000 ± 40000,5910 ± 290,1688000 ± 69000,0.574 ± 0.014,2915 ± 55,23.80 ± 0.56,3258 ± 24,0.418 ± 0.022,6980 ± 300,0.2869 ± 0.0068,1623 ± 34,11.90 ± 0.28,2594 ± 23,0.209 ± 0.011,3810 ± 180,0.3008 ± 0.0010,3473.8 ± 5.4,0.707 ± 0.017,3438 ± 63,29.14 ± 0.69,3456 ± 24,0.0568 ± 0.0030,1115 ± 56,0.2989 ± 0.0010,3464.4 ± 5.4,1.429 ± 0.035,3.13 ± 0.19,100.0 ± 4.9,17.5 ± 1.0,0.991439,0.14043
OG1,,-,,,,,,,1314 ± 46,357 ± 29,398000 ± 14000,119600 ± 4400,94500 ± 5200,269000 ± 19000,671000 ± 29000,4870 ± 210,1556000 ± 63000,0 ± 0.0E+0,1.00E+0 ± 0,168 ± 46,72 ± 29,397000 ± 14000,119400 ± 4400,93900 ± 5200,269000 ± 19000,671000 ± 29000,4870 ± 210,1553000 ± 63000,2.80 ± 0.21,168 ± 46,72 ± 29,397000 ± 14000,119400 ± 4400,93900 ± 5200,269000 ± 19000,671000 ± 29000,4870 ± 210,1553000 ± 63000,0.600 ± 0.017,3018 ± 70,24.86 ± 0.73,3289 ± 29,0.375 ± 0.018,6410 ± 270,0.3001 ± 0.0087,1687 ± 43,12.43 ± 0.37,2625 ± 28,0.1874 ± 0.0092,3450 ± 150,0.3004 ± 0.0010,3472.2 ± 5.1,0.692 ± 0.020,3374 ± 76,28.46 ± 0.84,3422 ± 29,0.0544 ± 0.0027,1069 ± 51,0.2986 ± 0.0010,3462.5 ± 5.1,1.473 ± 0.044,2.44 ± 0.18,88.2 ± 3.8,32.8 ± 2.3,0.994425,-0.078752
OG1,,-,,,,,,,1300 ± 52,328 ± 25,351900 ± 6400,106100 ± 2000,75400 ± 1500,212000 ± 11000,567000 ± 19000,4110 ± 140,1320000 ± 29000,0 ± 0.0E+0,1.00E+0 ± 0,142 ± 52,38 ± 25,351600 ± 6400,105900 ± 2000,74800 ± 1500,212000 ± 11000,567000 ± 19000,4110 ± 140,1317000 ± 29000,2.82 ± 0.17,142 ± 52,38 ± 25,351600 ± 6400,105900 ± 2000,74800 ± 1500,212000 ± 11000,567000 ± 19000,4110 ± 140,1317000 ± 29000,0.628 ± 0.017,3131 ± 67,26.07 ± 0.73,3343 ± 28,0.368 ± 0.019,6280 ± 270,0.3139 ± 0.0086,1756 ± 42,13.03 ± 0.36,2672 ± 26,0.1841 ± 0.0094,3400 ± 160,0.3012 ± 0.0012,3475.2 ± 5.9,0.698 ± 0.019,3403 ± 72,28.80 ± 0.81,3440 ± 28,0.0542 ± 0.0028,1064 ± 53,0.2992 ± 0.0011,3464.9 ± 6.0,1.451 ± 0.039,2.36 ± 0.14,75.9 ± 2.5,30.5 ± 1.5,0.993373,-0.122087
OG1,,-,,,,,,,1327 ± 52,325 ± 25,372000 ± 24000,113100 ± 7600,55600 ± 3200,150000 ± 11000,569000 ± 47000,4120 ± 340,1267000 ± 87000,0 ± 0.0E+0,1.00E+0 ± 0,157 ± 52,31 ± 25,372000 ± 24000,112900 ± 7600,54900 ± 3200,150000 ± 11000,569000 ± 47000,4120 ± 340,1264000 ± 87000,4.09 ± 0.34,157 ± 52,31 ± 25,372000 ± 24000,112900 ± 7600,54900 ± 3200,150000 ± 11000,569000 ± 47000,4120 ± 340,1264000 ± 87000,0.684 ± 0.024,3340 ± 91,28.32 ± 1.00,3418 ± 35,0.399 ± 0.029,6670 ± 400,0.342 ± 0.012,1889 ± 58,14.16 ± 0.50,2749 ± 34,0.200 ± 0.015,3640 ± 240,0.3005 ± 0.0012,3471.5 ± 6.3,0.734 ± 0.026,3528 ± 95,30.2 ± 1.1,3481 ± 36,0.0589 ± 0.0043,1152 ± 81,0.2983 ± 0.0012,3460.5 ± 6.3,1.407 ± 0.051,3.00 ± 0.25,71.8 ± 5.9,25.3 ± 1.8,0.993175,0.0526623
OG1,,-,,,,,,,1380 ± 51,364 ± 28,610000 ± 34000,184000 ± 10000,71500 ± 3500,195000 ± 12000,956000 ± 70000,6930 ± 500,2030000 ± 120000,0 ± 0.0E+0,1.00E+0 ± 0,198 ± 51,64 ± 28,610000 ± 34000,184000 ± 10000,70800 ± 3500,195000 ± 12000,956000 ± 70000,6930 ± 500,2020000 ± 120000,5.01 ± 0.30,198 ± 51,64 ± 28,610000 ± 34000,184000 ± 10000,70800 ± 3500,195000 ± 12000,956000 ± 70000,6930 ± 500,2020000 ± 120000,0.670 ± 0.021,3289 ± 80,27.80 ± 0.87,3398 ± 30,0.379 ± 0.019,6470 ± 280,0.335 ± 0.011,1856 ± 50,13.90 ± 0.43,2730 ± 29,0.1893 ± 0.0093,3510 ± 160,0.30134 ± 0.00090,3476.2 ± 4.6,0.695 ± 0.022,3385 ± 82,28.66 ± 0.89,3428 ± 30,0.0558 ± 0.0027,1095 ± 52,0.29901 ± 0.00089,3464.1 ± 4.6,1.483 ± 0.045,3.13 ± 0.19,108.2 ± 7.8,36.5 ± 2.3,0.995232,0.136058
FC1,,-,,,,,,,1274 ± 47,312 ± 23,44610 ± 790,3500 ± 69,5270 ± 140,46100 ± 4600,306000 ± 15000,2220 ± 110,410000 ± 16000,0 ± 0.0E+0,1.00E+0 ± 0,165 ± 47,42 ± 23,44350 ± 790,3311 ± 69,4800 ± 140,46100 ± 4600,306000 ± 15000,2220 ± 110,408000 ± 16000,8.7 ± 1.1,165 ± 47,42 ± 23,44350 ± 790,3311 ± 69,4800 ± 140,46100 ± 4600,306000 ± 15000,2220 ± 110,408000 ± 16000,0.1533 ± 0.0073,915 ± 40,1.579 ± 0.074,953 ± 29,0.137 ± 0.016,2530 ± 280,0.0766 ± 0.0036,475 ± 22,0.789 ± 0.037,587 ± 21,0.0684 ± 0.0081,1320 ± 150,0.07500 ± 0.00088,1065 ± 25,0.1939 ± 0.0092,1136 ± 49,1.983 ± 0.093,1099 ± 31,0.0181 ± 0.0021,361 ± 43,0.07455 ± 0.00088,1053 ± 25,5.46 ± 0.23,5.49 ± 0.67,36.5 ± 1.8,3.79 ± 0.38,0.95837,0.0869989
9453,,-,,,,,,,1332 ± 52,355 ± 27,7300 ± 170,529 ± 17,1150 ± 48,117700 ± 8600,1071000 ± 36000,7770 ± 260,1202000 ± 41000,0 ± 0.0E+0,1.00E+0 ± 0,219 ± 52,84 ± 27,7040 ± 170,336 ± 17,668 ± 48,117700 ± 8600,1071000 ± 36000,7770 ± 260,1200000 ± 41000,10.18 ± 0.71,219 ± 52,84 ± 27,7040 ± 170,336 ± 17,668 ± 48,117700 ± 8600,1071000 ± 36000,7770 ± 260,1200000 ± 41000,0.00669 ± 0.00017,43.0 ± 1.1,0.0443 ± 0.0021,43.9 ± 2.0,0.00655 ± 0.00066,132 ± 13,0.003343 ± 0.000084,21.51 ± 0.54,0.0221 ± 0.0010,22.2 ± 1.0,0.00328 ± 0.00033,66.1 ± 6.6,0.0484 ± 0.0023,510 ± 81,0.00839 ± 0.00021,53.9 ± 1.4,0.0552 ± 0.0026,54.4 ± 2.5,0.000873 ± 0.000088,17.6 ± 1.8,0.0481 ± 0.0023,503 ± 81,121.1 ± 3.1,6.59 ± 0.46,128.9 ± 4.4,9.92 ± 0.73,0.207136,0.326953
Ples,,-,,,,,,,1307 ± 54,302 ± 25,109000 ± 2600,6040 ± 150,3290 ± 110,71600 ± 5800,2574000 ± 88000,18670 ± 640,2784000 ± 93000,0 ± 0.0E+0,1.00E+0 ± 0,194 ± 54,31 ± 25,108700 ± 2600,5850 ± 150,2810 ± 110,71600 ± 5800,2574000 ± 88000,18670 ± 640,2782000 ± 93000,46.4 ± 5.8,194 ± 54,31 ± 25,108700 ± 2600,5850 ± 150,2810 ± 110,71600 ± 5800,2574000 ± 88000,18670 ± 640,2782000 ± 93000,0.04270 ± 0.00068,269.5 ± 4.2,0.3166 ± 0.0057,279.0 ± 4.4,0.0519 ± 0.0073,913 ± 95,0.02135 ± 0.00034,136.2 ± 2.2,0.1583 ± 0.0029,149.1 ± 2.5,0.0259 ± 0.0036,463 ± 49,0.05385 ± 0.00047,360 ± 20,0.05341 ± 0.00086,335.4 ± 5.2,0.3923 ± 0.0068,336.4 ± 5.2,0.00694 ± 0.00097,125 ± 14,0.05353 ± 0.00047,346 ± 20,18.87 ± 0.30,30.5 ± 3.8,311 ± 11,6.12 ± 0.50,0.87886,0.0420328
Oracle,,-,,,,,,,1307 ± 57,339 ± 28,423000 ± 19000,38400 ± 1700,57500 ± 3000,346000 ± 26000,2150000 ± 120000,15580 ± 870,3030000 ± 170000,0 ± 0.0E+0,1.00E+0 ± 0,192 ± 57,67 ± 28,423000 ± 19000,38200 ± 1700,57000 ± 3000,346000 ± 26000,2150000 ± 120000,15580 ± 870,3030000 ± 170000,6.52 ± 0.31,192 ± 57,67 ± 28,423000 ± 19000,38200 ± 1700,57000 ± 3000,346000 ± 26000,2150000 ± 120000,15580 ± 870,3030000 ± 170000,0.2003 ± 0.0041,1180 ± 23,2.493 ± 0.052,1267 ± 15,0.1734 ± 0.0071,3220 ± 120,0.1001 ± 0.0021,617 ± 13,1.247 ± 0.026,820 ± 11,0.0867 ± 0.0035,1678 ± 66,0.09032 ± 0.00049,1430 ± 10,0.2495 ± 0.0052,1439 ± 28,3.086 ± 0.064,1429 ± 16,0.02331 ± 0.00095,465 ± 19,0.08977 ± 0.00049,1419 ± 10,4.026 ± 0.085,4.35 ± 0.20,260 ± 15,30.0 ± 2.3,0.972172,0.113107
Temora2,,-,,,,,,,1282 ± 49,335 ± 23,133300 ± 6900,7610 ± 390,13390 ± 380,310000 ± 15000,2540000 ± 160000,18400 ± 1200,3020000 ± 180000,0 ± 0.0E+0,1.00E+0 ± 0,166 ± 49,63 ± 23,133100 ± 6900,7410 ± 390,12890 ± 380,310000 ± 15000,2540000 ± 160000,18400 ± 1200,3020000 ± 180000,8.17 ± 0.47,166 ± 49,63 ± 23,133100 ± 6900,7410 ± 390,12890 ± 380,310000 ± 15000,2540000 ± 160000,18400 ± 1200,3020000 ± 180000,0.0540 ± 0.0011,338.8 ± 6.5,0.4140 ± 0.0086,351.2 ± 6.1,0.0424 ± 0.0018,838 ± 35,0.02699 ± 0.00053,171.6 ± 3.3,0.2070 ± 0.0043,190.8 ± 3.6,0.02120 ± 0.00090,424 ± 18,0.05574 ± 0.00050,437 ± 20,0.0670 ± 0.0013,418.1 ± 8.0,0.511 ± 0.011,418.1 ± 7.1,0.00572 ± 0.00024,115.2 ± 4.9,0.05540 ± 0.00050,423 ± 20,15.07 ± 0.29,5.52 ± 0.32,309 ± 19,27.2 ± 1.3,0.923231,-0.013553
TANBR,,-,,,,,,,1293 ± 45,353 ± 26,811000 ± 24000,134300 ± 3900,241400 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,0 ± 0.0E+0,1.00E+0 ± 0,174 ± 45,80 ± 26,811000 ± 24000,134100 ± 3900,240900 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,2.438 ± 0.065,174 ± 45,80 ± 26,811000 ± 24000,134100 ± 3900,240900 ± 7200,892000 ± 36000,2158000 ± 80000,15650 ± 580,4270000 ± 140000,0.3792 ± 0.0065,2070 ± 30,8.65 ± 0.15,2298 ± 15,0.2720 ± 0.0061,4856 ± 96,0.1896 ± 0.0033,1118 ± 18,4.327 ± 0.074,1695 ± 14,0.1360 ± 0.0030,2575 ± 54,0.16557 ± 0.00056,2512.2 ± 5.6,0.4692 ± 0.0081,2477 ± 35,10.64 ± 0.18,2488 ± 16,0.03685 ± 0.00082,731 ± 16,0.16456 ± 0.00055,2502.0 ± 5.6,2.148 ± 0.035,1.672 ± 0.045,263.5 ± 9.7,79.5 ± 3.3,0.980827,0.154497
FC1,,-,,,,,,,1302 ± 50,300 ± 22,43420 ± 800,3446 ± 74,5080 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,394000 ± 18000,0 ± 0.0E+0,1.00E+0 ± 0,181 ± 50,26 ± 22,43140 ± 800,3241 ± 74,4560 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,391000 ± 18000,-290000000 ± 570000000,181 ± 50,26 ± 22,43140 ± 800,3241 ± 74,4560 ± 120,46200 ± 4600,292000 ± 15000,2120 ± 110,391000 ± 18000,0.1558 ± 0.0070,930 ± 38,1.627 ± 0.076,967 ± 28,-4100000 ± 8000000,2290 ± 220,0.0779 ± 0.0035,482 ± 21,0.813 ± 0.038,597 ± 21,-2000000 ± 4000000,1190 ± 120,0.07561 ± 0.00097,1077 ± 26,0.1913 ± 0.0085,1123 ± 46,1.985 ± 0.093,1095 ± 31,-600000 ± 1100000,333 ± 35,0.07515 ± 0.00096,1065 ± 26,5.46 ± 0.23,-210000000 ± 400000000,36.0 ± 1.9,4.24 ± 0.43,0.970607,-0.0916678
