,Label,Final Pb206/U238,Final Pb206/U238 age,Final Pb207/U235,Final Pb207/U235 age,Final Pb207/Pb206,Final Pb207/Pb206 age,2s Final Pb206/U238,2s Final Pb206/U238 age,2s Final Pb207/U235,2s Final Pb207/U235 age,2s Final Pb207/Pb206,2s Final Pb207/Pb206 age,Accepted Age,Accepted Uncertainty
0,Ples,0.05417,340.0,0.3976,339.5,0.05331,337.0,0.00086,5.2,0.0071,5.1,0.00045,19.0,338.0,1.0
1,Ples,0.05364,336.8,0.3947,337.4,0.05324,335.0,0.00082,5.0,0.0066,4.8,0.00041,18.0,338.0,1.0
2,Ples,0.05337,335.1,0.3926,335.8,0.05324,334.0,0.00092,5.6,0.0073,5.3,0.00046,19.0,338.0,1.0
3,Ples,0.05195,326.4,0.3782,325.3,0.05292,320.0,0.00083,5.1,0.0066,4.8,0.00045,19.0,338.0,1.0
4,Ples,0.05415,339.8,0.3975,339.4,0.05334,340.0,0.00098,6.0,0.0074,5.4,0.00035,15.0,338.0,1.0
5,Ples,0.0557,349.5,0.4091,347.7,0.05337,347.0,0.0011,6.4,0.0079,5.6,0.00043,17.0,338.0,1.0
6,FC1,0.198,1159.0,2.029,1110.0,0.0742,1043.0,0.0093,49.0,0.098,31.0,0.00087,25.0,1098.0,1.5
7,91500,0.247,1405.0,2.62,1264.0,0.0765,1095.0,0.016,81.0,0.2,47.0,0.0012,32.0,1062.5,2.5
8,9453,0.00851,54.6,0.0558,55.0,0.0479,495.0,0.00022,1.4,0.0026,2.5,0.0023,81.0,55.5,1.5
9,Oracle,0.2533,1458.0,3.122,1438.0,0.08944,1412.0,0.0052,28.0,0.065,16.0,0.00049,10.0,1436.0,2.0
10,Temora2,0.0679,423.2,0.516,421.7,0.05526,418.0,0.0013,7.7,0.01,6.8,0.00048,19.0,419.0,1.0
11,TANBR,0.4767,2510.0,10.77,2500.0,0.164,2496.1,0.0082,36.0,0.18,16.0,0.00055,5.6,2514.0,
12,OG1,0.724,3495.0,29.8,3472.0,0.2985,3461.3,0.019,71.0,0.8,24.0,0.0011,5.5,3465.0,3.5
13,FC1,0.1947,1141.0,2.013,1104.0,0.07491,1058.0,0.0087,46.0,0.094,31.0,0.00096,26.0,1098.0,1.5
14,91500,0.1889,1112.0,1.976,1096.0,0.07486,1062.0,0.007,37.0,0.082,26.0,0.00079,21.0,1062.5,2.5
15,9453,0.00878,56.4,0.0518,51.0,0.0435,560.0,0.00038,2.4,0.0046,4.4,0.0036,110.0,55.5,1.5
16,Oracle,0.2506,1440.0,3.113,1432.0,0.09016,1427.0,0.0051,26.0,0.064,15.0,0.0005,11.0,1436.0,2.0
17,Temora2,0.0667,416.3,0.503,413.5,0.05466,396.0,0.0016,9.6,0.013,8.7,0.00064,25.0,419.0,1.0
18,Temora2,0.0669,418.3,0.507,416.6,0.055,412.0,0.0015,9.1,0.012,8.3,0.00062,24.0,419.0,1.0
19,TANBR,0.478,2510.0,10.81,2491.0,0.16424,2498.5,0.013,57.0,0.3,24.0,0.00063,6.5,2514.0,
20,OG1,0.721,3421.0,29.7,3436.0,0.2977,3457.2,0.028,81.0,1.2,31.0,0.0011,5.7,3465.0,3.5
21,9453,0.00879,56.4,0.0522,51.2,0.0432,660.0,0.00037,2.3,0.0057,5.5,0.0045,140.0,55.5,1.5
22,91500,0.1906,1121.0,1.945,1090.0,0.07416,1040.0,0.0064,34.0,0.068,23.0,0.00075,20.0,1062.5,2.5
23,9453,0.00893,57.3,0.0552,54.1,0.0448,750.0,0.0004,2.5,0.0056,5.3,0.0041,130.0,55.5,1.5
24,Oracle,0.2523,1447.0,3.115,1430.0,0.0896,1415.0,0.0067,34.0,0.083,20.0,0.00055,12.0,1436.0,2.0
25,Temora2,0.0657,410.0,0.504,412.0,0.0549,423.0,0.0019,11.0,0.018,11.0,0.00083,32.0,419.0,1.0
26,TANBR,0.1901,1121.0,3.452,1513.0,0.1313,2114.0,0.0036,20.0,0.088,20.0,0.0011,16.0,2514.0,
27,OG1,0.725,3503.0,29.87,3478.0,0.299,3464.2,0.022,80.0,0.9,31.0,0.0013,6.6,3465.0,3.5
28,91500,0.1925,1130.0,2.004,1101.0,0.07476,1058.0,0.0081,44.0,0.092,30.0,0.00089,25.0,1062.5,2.5
29,9453,0.00898,57.6,0.0505,49.3,0.0416,880.0,0.00053,3.4,0.0083,8.1,0.0065,170.0,55.5,1.5
30,Oracle,0.275,1561.0,3.47,1502.0,0.09064,1435.0,0.011,56.0,0.15,33.0,0.00081,17.0,1436.0,2.0
31,Temora2,0.0691,431.0,0.526,427.3,0.05524,420.0,0.0019,11.0,0.015,10.0,0.00068,27.0,419.0,1.0
32,TANBR,0.483,2530.0,11.05,2516.0,0.16596,2516.0,0.014,61.0,0.33,27.0,0.00072,7.3,2514.0,
33,OG1,0.762,3629.0,31.3,3516.0,0.2985,3461.6,0.025,90.0,1.0,33.0,0.0011,5.9,3465.0,3.5
34,Oracle,0.2474,1423.0,3.095,1428.0,0.09073,1440.6,0.005,26.0,0.061,15.0,0.00034,7.0,1436.0,2.0
35,91500,0.1869,1098.0,1.933,1073.0,0.075,1057.0,0.0089,48.0,0.099,33.0,0.0011,30.0,1062.5,2.5
36,9453,0.00872,55.9,0.0557,54.7,0.0467,620.0,0.00033,2.1,0.0051,4.9,0.0042,120.0,55.5,1.5
37,Oracle,0.2483,1427.0,3.084,1422.0,0.09012,1425.0,0.0076,39.0,0.096,23.0,0.0007,15.0,1436.0,2.0
38,Temora2,0.0688,429.0,0.522,426.7,0.05504,411.0,0.0018,11.0,0.014,9.6,0.00067,26.0,419.0,1.0
39,TANBR,0.507,2635.0,11.56,2561.0,0.16573,2513.8,0.013,55.0,0.3,23.0,0.00063,6.4,2514.0,
40,OG1,0.723,3487.0,29.8,3464.0,0.2995,3466.5,0.024,90.0,1.0,33.0,0.001,5.3,3465.0,3.5
41,Temora2,0.0679,423.0,0.516,422.0,0.05542,434.0,0.0022,13.0,0.017,11.0,0.00095,35.0,419.0,1.0
